,q17a,q17b,q17c,q18b,q18c,q18g,age18,q20a,q20b,q20c,q21a,q21b,q21c,q22a,q22b,q22c,q22d1,q22d2,q22f,q23c,q24a,q24b,q24c,q24d,q25
1126,1,1,1,1,1,1955,55,5,4,5,2,2,1,4,10,0,2,-1,0,1,4,4,4,4,2
1127,1,0,1,2,8,1987,23,5,5,5,2,2,1,5,7,0,-1,-1,0,2,4,4,4,4,3
1128,1,1,3,1,4,1958,52,5,4,5,1,3,1,7,12,1,2,2,0,2,4,4,4,4,4
1129,1,1,1,1,4,1965,45,5,4,4,4,2,1,3,4,0,2,-1,0,1,4,4,4,4,4
1130,0,1,2,1,12,1953,57,1,2,1,1,5,3,3,3,0,1,0,1,1,4,4,3,2,2
1131,0,0,1,1,1,-1,-1,5,4,5,5,1,2,3,4,1,1,0,0,1,2,1,2,2,-1
1132,1,0,-1,1,2,1972,38,1,1,1,-1,4,2,1,-1,-1,-1,-1,0,1,1,1,4,4,2
1133,0,1,4,2,8,1965,45,6,5,5,2,2,1,3,-1,0,2,1,0,1,4,2,2,2,2
1134,1,1,1,1,1,1988,22,4,4,4,5,2,1,3,12,0,2,1,0,2,3,3,3,3,5
1135,1,1,1,1,1,1951,59,5,4,5,2,2,1,5,10,1,1,0,0,1,4,4,4,4,3
1136,0,0,4,2,2,1984,26,1,4,1,2,2,1,3,7,0,1,0,0,1,2,4,3,3,3
1137,1,1,1,2,2,1942,68,1,2,1,1,2,1,7,11,1,1,-1,1,1,4,3,3,4,5
1138,1,1,1,1,1,1983,27,5,5,5,1,2,1,3,10,0,1,-1,0,1,4,4,4,4,3
1139,1,1,1,1,4,1955,55,5,5,5,2,3,1,3,9,1,1,0,0,1,2,1,1,1,3
1140,1,1,1,1,1,1967,43,5,4,5,1,2,1,7,8,0,2,1,0,3,4,3,3,3,3
1141,0,0,2,2,3,1960,50,3,4,2,1,4,1,5,10,0,2,-1,-1,1,4,4,4,4,5
1142,1,1,1,2,2,1939,71,1,1,1,1,2,1,6,12,1,1,-1,0,1,4,4,4,4,2
1143,1,1,1,1,1,1970,40,4,3,5,1,1,1,4,5,0,0,0,0,1,2,2,2,2,5
1144,1,0,4,1,1,1982,28,5,2,5,3,2,1,7,10,1,1,-1,-1,1,3,3,3,4,2
1145,1,1,1,1,1,1977,33,5,5,5,1,2,1,3,2,0,0,0,0,2,4,4,4,4,3
1146,1,0,4,1,1,1977,33,4,4,4,2,4,-1,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1147,1,0,4,1,1,1972,38,6,5,5,1,2,4,5,12,1,0,0,0,1,4,4,2,4,4
1148,1,1,1,1,12,1949,61,5,5,5,6,2,1,6,10,1,0,0,0,1,4,4,4,4,3
1149,1,1,4,2,2,1984,26,6,3,1,3,4,1,5,7,0,0,0,0,1,2,2,2,2,2
1150,1,1,1,1,1,1988,22,5,5,5,2,2,1,3,11,0,2,0,0,1,3,3,3,4,4
1151,1,1,1,2,7,1960,50,1,2,1,1,2,1,6,8,1,2,-1,0,1,4,4,4,4,4
1152,1,1,1,2,2,1958,52,1,2,2,1,2,1,5,10,1,2,-1,0,1,4,4,4,4,5
1153,0,0,1,2,2,1967,43,1,1,1,2,3,1,3,8,0,2,2,0,3,2,2,2,2,3
1154,1,1,1,1,1,1989,21,5,5,5,2,2,1,3,7,0,1,0,0,1,3,4,3,4,5
1155,1,1,1,1,7,1970,40,5,5,5,1,-1,-1,4,12,1,-1,-1,-1,1,3,3,3,3,4
1156,1,1,1,1,5,1981,29,5,5,5,2,2,1,5,10,1,2,-1,0,1,4,2,3,4,4
1157,0,0,1,2,2,1976,34,1,2,1,2,2,1,3,9,1,2,2,0,1,1,4,4,4,3
1158,1,1,1,2,2,1954,56,1,2,1,2,2,1,6,8,1,-1,-1,0,1,4,4,3,3,4
1159,0,1,-1,2,8,1982,28,5,5,5,1,4,4,3,-1,-1,5,1,0,-1,3,2,3,2,3
1160,0,0,4,2,8,1990,20,6,6,5,2,2,1,3,1,0,2,-1,0,2,3,4,4,4,3
1161,1,1,1,2,8,1987,23,5,5,5,2,2,1,3,2,0,3,-1,0,3,3,3,4,4,3
1162,1,1,1,1,1,1967,43,5,5,5,2,2,1,7,12,1,2,-1,0,1,4,4,4,4,3
1163,0,1,1,1,1,1962,48,5,3,5,1,4,4,7,12,1,-1,-1,0,1,4,3,2,2,5
1164,1,1,1,1,1,1982,28,5,5,5,2,2,1,5,11,1,1,-1,0,1,4,4,4,4,4
1165,1,1,1,2,2,1969,41,1,3,1,1,2,1,7,9,1,2,3,0,1,4,4,4,-1,-1
1166,1,1,3,2,8,1988,22,5,5,4,2,2,5,3,1,0,2,-1,0,2,2,2,1,2,3
1167,0,0,-1,2,8,1982,28,5,5,5,1,2,1,3,8,0,0,0,0,2,2,2,2,2,3
1168,0,0,3,1,5,1982,28,5,5,-1,2,2,1,5,8,0,1,-1,0,3,3,3,4,4,3
1169,1,1,3,1,3,1992,18,4,4,4,3,4,1,3,11,-1,2,-1,0,3,3,3,3,3,5
1170,1,1,-1,2,8,1982,28,5,5,5,-1,4,4,5,-1,0,2,-1,0,1,2,2,2,2,3
1171,1,1,3,2,3,1991,19,4,3,3,-1,4,3,2,1,0,1,-1,0,3,2,4,4,4,5
1172,0,0,4,2,8,1993,17,5,5,5,1,5,3,2,3,0,3,-1,0,2,2,4,3,3,3
1173,1,0,1,2,8,1988,22,5,5,5,2,2,4,5,10,0,2,-1,0,3,3,4,3,3,2
1174,0,1,-1,2,8,1985,25,5,5,5,4,2,1,2,12,1,4,-1,0,1,3,4,3,3,4
1175,1,1,1,2,2,1980,30,1,2,1,2,2,1,5,8,1,2,-1,0,1,4,3,3,3,5
1176,1,1,1,2,5,-1,-1,1,1,1,2,3,1,7,9,1,0,1,0,1,2,2,2,2,3
1177,1,1,4,2,8,1959,51,5,5,5,1,2,1,5,12,1,2,-1,0,1,4,3,4,4,4
1178,1,1,1,2,5,1960,50,6,2,2,2,2,1,4,9,0,1,0,0,1,4,4,3,3,4
1179,1,1,1,1,1,1969,41,5,5,5,1,2,1,7,12,1,1,0,0,1,3,3,3,3,5
1180,0,0,3,2,3,1991,19,2,2,2,1,2,1,3,1,0,2,-1,0,3,2,2,3,3,4
1181,0,0,2,1,12,1985,25,3,4,3,1,5,1,3,5,0,5,0,0,1,3,3,4,4,2
1182,1,1,3,1,1,1966,44,5,4,5,1,2,1,3,9,1,3,0,1,2,3,2,2,2,2
1183,1,1,1,1,3,1949,61,2,3,-1,1,2,1,7,11,1,0,0,0,1,3,2,2,2,5
1184,1,1,4,1,1,1939,71,5,4,5,2,2,1,3,11,1,-1,-1,-1,1,2,2,2,2,4
1185,1,1,1,1,1,1960,50,5,4,5,1,2,1,7,12,1,1,0,-1,1,4,4,4,4,5
1186,1,1,3,2,5,1983,27,3,3,2,1,-1,1,5,8,1,1,-1,0,1,4,4,4,4,5
1187,0,1,1,2,2,1946,64,1,2,1,1,4,1,7,7,1,-1,-1,0,1,2,2,3,3,4
1188,1,1,2,1,-1,1965,45,5,4,5,6,4,2,1,12,1,1,-1,0,1,4,4,4,4,4
1189,1,1,1,2,2,1942,68,6,1,2,1,2,4,7,6,1,0,-1,0,1,4,4,4,4,3
1190,1,1,1,2,2,1942,68,6,2,-1,1,2,4,7,5,1,0,0,0,1,4,2,3,4,3
1191,1,1,4,2,3,1977,33,3,4,3,1,2,1,5,10,0,3,-1,0,2,4,4,4,4,5
1192,1,1,1,1,-1,1952,58,6,5,4,1,2,1,5,9,1,0,0,0,1,2,2,2,2,3
1193,1,1,1,2,2,1965,45,1,3,1,2,2,1,5,12,1,1,1,0,1,3,3,2,2,3
1194,0,0,2,2,5,1983,27,1,1,1,1,2,1,5,7,1,-1,-1,0,1,4,4,4,4,3
1195,1,1,1,2,2,1942,68,1,3,1,2,2,1,7,10,1,0,0,0,1,4,4,4,4,5
1196,1,1,1,2,2,1992,18,1,2,1,1,3,3,2,10,0,4,0,0,3,4,3,3,3,2
1197,0,1,1,2,2,1954,56,6,4,2,1,4,4,3,1,1,0,0,0,1,-1,-1,-1,-1,3
1198,0,1,1,1,5,1961,49,6,4,4,1,3,1,3,7,0,1,0,0,1,1,1,1,1,1
1199,0,0,4,2,8,1982,28,5,4,4,2,2,1,5,4,0,1,-1,0,2,3,3,3,3,3
1200,1,1,4,2,2,1985,25,1,1,1,2,2,1,5,11,0,2,1,0,1,3,3,3,3,2
1201,1,1,1,2,2,1985,25,1,2,1,2,2,1,3,5,0,3,-1,0,1,4,4,4,4,4
1202,1,0,3,1,5,1987,23,5,5,5,2,2,1,5,7,0,1,0,0,1,3,3,2,3,3
1203,1,1,1,2,3,1991,19,6,1,3,-1,4,3,2,1,0,3,2,0,2,2,2,4,2,3
1204,1,0,4,3,12,1988,22,1,1,1,6,3,3,4,1,0,4,4,0,2,1,2,2,4,5
1205,1,1,1,2,1,1965,45,1,2,1,1,2,1,-1,12,1,2,0,1,2,3,4,3,3,3
1206,1,1,4,1,3,1991,19,5,3,4,2,3,3,2,12,0,3,2,0,1,4,3,3,3,4
1207,1,1,1,2,2,1984,26,1,3,1,3,4,3,3,12,1,1,0,0,1,3,2,4,3,3
1208,1,1,4,2,5,1991,19,4,4,4,1,2,4,3,1,-1,6,-1,0,3,3,3,2,3,2
1209,1,1,1,2,5,1977,33,1,2,1,1,2,1,6,10,1,1,2,0,1,4,3,4,4,4
1210,1,1,1,1,1,1992,18,5,5,5,2,4,4,2,11,0,1,-1,0,3,3,3,2,2,4
1211,1,0,4,2,5,1987,23,3,4,3,1,2,1,5,1,1,5,-1,0,1,2,2,2,2,3
1212,1,1,1,1,1,1952,58,5,4,5,1,2,5,7,10,1,1,1,0,1,4,2,2,3,3
1213,1,1,1,2,2,1959,51,1,2,1,3,2,1,7,7,1,1,-1,0,1,4,4,4,4,4
1214,1,1,1,2,2,1951,59,6,2,2,1,2,1,6,8,1,1,0,0,1,4,2,3,3,3
1215,1,1,1,2,2,1976,34,1,3,1,2,2,1,7,12,1,1,0,0,1,4,4,4,4,5
1216,1,1,4,1,1,1980,30,5,4,5,5,3,2,3,9,1,5,0,0,2,4,3,4,4,4
1217,0,0,1,2,2,1975,35,1,2,1,1,2,1,7,10,0,3,2,0,1,3,4,4,4,3
1218,1,1,1,2,1,1965,45,1,2,1,2,2,1,3,10,1,2,-1,0,1,4,4,4,4,3
1219,1,1,1,1,1,1960,50,5,5,5,3,4,3,7,8,1,-1,-1,0,3,3,2,2,2,4
1220,1,1,3,1,1,1967,43,6,5,5,2,2,1,7,10,1,-1,-1,0,1,4,4,3,4,4
1221,1,1,1,1,8,1983,27,1,1,1,2,4,1,5,5,1,4,-1,0,1,2,2,2,2,3
1222,1,1,4,2,5,1988,22,1,1,1,1,2,1,3,11,0,4,-1,0,1,2,3,2,3,4
1223,1,1,4,2,5,-1,-1,2,2,3,1,2,1,3,1,0,0,0,0,1,2,2,2,2,3
1224,0,0,4,2,2,1977,33,1,1,1,2,4,1,7,9,1,1,0,0,1,2,3,3,3,3
1225,1,1,1,2,3,1966,44,1,4,1,2,2,1,4,10,1,2,-1,0,1,4,4,4,4,4
1226,1,1,4,1,1,1961,49,5,5,5,5,4,1,7,12,1,1,0,0,1,4,4,4,4,5
1227,1,1,1,1,1,1964,46,5,4,4,2,4,1,7,10,1,2,0,0,1,3,2,3,2,3
1228,1,1,3,2,6,1988,22,1,2,1,1,2,1,3,7,1,1,0,0,3,2,1,3,3,3
1229,1,1,4,1,1,1984,26,5,5,-1,-1,4,4,5,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1230,1,1,4,2,2,1980,30,3,4,1,1,2,1,5,4,1,2,-1,0,2,4,4,4,4,3
1231,0,0,3,2,2,1971,39,2,2,1,1,2,1,7,-1,0,2,-1,0,1,2,2,2,2,4
1232,0,0,4,1,1,1990,20,5,5,5,1,3,1,3,9,0,3,0,0,1,4,4,4,2,5
1233,1,1,4,2,2,1984,26,-1,2,2,2,4,1,7,3,0,1,-1,0,1,2,3,3,3,4
1234,1,1,4,2,3,1977,33,6,4,1,1,2,1,5,9,1,3,1,0,2,2,2,2,2,4
1235,1,1,3,2,5,1991,19,1,1,2,1,2,4,3,1,0,3,-1,0,1,1,2,2,3,3
1236,1,1,4,2,3,1993,17,3,3,3,3,4,4,1,-1,0,3,1,0,1,4,2,2,3,4
1237,1,1,4,2,5,1987,23,5,5,3,1,2,1,5,5,0,2,-1,0,1,3,3,4,4,4
1238,0,0,1,1,3,1972,38,-1,2,3,2,5,5,6,10,0,1,1,0,1,3,3,3,3,3
1239,1,1,1,1,7,1970,40,5,5,4,-1,-1,-1,3,9,0,1,0,0,1,2,2,2,2,2
1240,1,1,4,1,1,1985,25,6,6,5,2,2,1,6,10,0,3,-1,0,1,1,1,2,1,2
1241,1,1,1,2,2,1965,45,1,4,1,3,2,1,3,12,1,1,0,0,1,4,4,4,4,4
1242,0,0,3,2,2,1977,33,1,3,1,1,2,1,6,10,0,2,-1,0,1,2,2,2,2,2
1243,0,0,4,2,4,1992,18,4,4,3,2,4,3,2,1,0,1,-1,0,1,4,4,4,4,1
1244,1,1,1,2,12,1984,26,4,3,3,2,4,3,3,8,0,0,1,0,1,4,4,4,4,5
1245,1,0,1,1,1,1984,26,5,5,5,2,2,1,3,8,0,3,-1,-1,3,2,2,2,2,2
1246,1,1,4,1,2,1957,53,1,2,1,2,4,4,3,11,1,3,3,1,1,4,2,2,2,4
1247,1,1,1,2,1,1986,24,1,2,1,1,2,1,6,3,0,1,0,0,1,2,2,2,2,3
1248,1,0,1,1,1,1982,28,5,5,5,1,2,1,7,8,1,0,0,0,1,2,3,2,3,4
1249,0,0,1,2,5,1982,28,6,3,3,1,4,4,7,7,1,2,-1,0,1,2,3,3,4,3
1250,1,1,2,1,1,1984,26,5,4,5,1,4,1,5,9,0,1,0,0,1,4,2,2,2,2
1251,1,1,4,1,1,1941,69,5,5,5,3,2,1,7,-1,-1,1,-1,1,1,4,3,4,4,5
1252,1,1,1,1,1,1991,19,5,5,5,5,2,4,2,4,0,-1,-1,0,3,3,3,3,3,3
1253,0,0,4,1,3,1958,52,2,2,3,3,2,1,4,10,0,4,-1,0,3,2,2,2,2,3
1254,1,1,4,2,3,1990,20,2,3,4,1,2,1,3,9,0,5,-1,0,1,2,2,2,2,4
1255,1,1,1,1,3,1976,34,4,4,4,3,2,1,5,11,0,1,-1,0,2,3,3,3,3,4
1256,1,1,1,2,2,1985,25,3,4,1,2,2,1,6,9,1,3,-1,0,1,4,4,4,4,3
1257,0,1,4,2,5,1988,22,1,1,1,1,2,1,3,6,0,1,-1,0,1,2,2,2,3,5
1258,0,0,4,1,12,1991,19,6,4,4,1,4,4,2,8,0,2,-1,0,1,3,2,3,3,4
1259,1,1,4,1,8,1985,25,1,1,1,5,2,4,5,10,1,0,0,0,1,3,4,3,4,4
1260,1,1,4,1,1,1992,18,6,6,5,1,3,5,1,12,0,4,-1,0,1,3,3,2,2,2
1261,1,1,1,1,1,1950,60,5,5,4,2,2,1,7,12,1,1,-1,0,1,4,2,2,3,5
1262,1,1,1,1,1,1984,26,5,4,5,2,3,1,5,11,1,0,0,0,3,3,4,3,4,3
1263,1,1,1,1,1,1965,45,5,4,5,2,2,1,2,10,1,-1,-1,0,3,4,4,4,4,5
1264,1,1,1,1,1,1969,41,5,5,5,4,3,5,7,12,1,1,-1,0,1,4,4,4,4,5
1265,1,1,1,1,1,1952,58,5,5,5,1,2,1,3,-1,1,2,-1,0,1,4,4,4,4,4
1266,0,0,1,2,2,1983,27,1,1,1,2,2,1,5,1,0,4,0,0,1,3,4,4,4,4
1267,1,1,4,1,1,1986,24,5,4,5,2,3,1,5,9,1,2,-1,0,1,4,4,4,4,4
1268,1,1,1,2,2,1986,24,1,2,1,1,2,1,5,10,1,1,-1,0,1,4,4,4,4,4
1269,1,1,1,1,1,1980,30,5,4,4,2,4,1,2,11,1,-1,-1,1,1,4,4,4,4,5
1270,1,1,1,2,2,1965,45,1,1,1,2,2,1,3,12,1,1,-1,0,1,4,4,4,4,4
1271,1,1,4,2,8,1978,32,5,5,5,2,3,1,7,8,1,1,-1,0,1,3,3,3,3,3
1272,1,1,-1,1,8,1945,65,1,-1,1,2,2,1,7,2,0,1,-1,0,1,4,4,4,4,5
1273,1,1,1,1,1,1976,34,1,1,5,5,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1274,1,1,4,2,3,1986,24,3,3,2,1,4,5,3,7,0,2,2,0,1,2,3,2,2,3
1275,0,0,4,1,1,1986,24,5,5,5,5,5,2,3,8,0,3,-1,0,1,3,4,4,4,3
1276,1,1,1,1,1,1984,26,5,4,5,1,2,1,7,8,1,2,0,0,1,4,4,4,4,4
1277,1,1,1,1,-1,1948,62,5,4,5,5,1,1,4,12,1,1,-1,1,1,3,3,3,3,5
1278,1,1,1,2,2,1969,41,1,2,1,1,2,4,5,11,1,1,1,0,3,3,3,3,3,4
1279,0,0,4,2,2,1987,23,1,2,1,2,4,4,3,4,0,7,-1,0,1,3,3,3,3,4
1280,1,1,4,2,2,1968,42,1,1,1,2,2,1,6,11,1,2,1,0,1,3,3,4,4,3
1281,1,1,1,1,1,1983,27,5,5,5,4,2,5,4,8,0,-1,-1,0,3,4,4,4,4,4
1282,0,1,1,2,5,1975,35,2,3,2,3,2,3,3,9,0,0,0,0,1,4,4,4,4,3
1283,1,1,1,1,1,1962,48,5,5,5,1,2,1,7,11,1,1,0,0,1,3,3,2,3,4
1284,1,1,4,2,3,1964,46,4,4,3,2,3,1,3,10,0,2,-1,0,1,2,2,2,2,2
1285,1,1,-1,2,3,1992,18,5,4,5,5,4,3,2,12,1,2,1,0,2,3,3,3,3,4
1286,1,0,4,1,1,1966,44,5,-1,5,3,2,1,3,12,0,1,2,0,1,4,3,3,3,4
1287,0,1,2,2,8,1974,36,1,2,1,1,2,1,5,4,1,0,0,0,1,3,1,1,2,3
1288,1,1,1,1,1,1959,51,5,4,5,1,2,1,3,9,0,2,0,1,1,4,4,4,4,4
1289,1,1,1,2,8,1961,49,5,5,5,3,2,1,5,10,0,1,-1,0,2,4,4,4,4,5
1290,1,1,1,2,3,1963,47,4,4,3,2,2,1,6,11,1,-1,-1,0,1,4,4,4,3,4
1291,0,0,4,2,3,1992,18,5,5,5,2,5,4,2,1,0,1,0,0,2,3,4,3,3,3
1292,1,1,1,1,1,1982,28,4,4,4,1,2,1,7,9,1,1,-1,0,2,3,3,2,2,4
1293,1,1,3,2,3,1975,35,2,3,2,1,2,1,7,10,1,-1,-1,0,1,4,4,4,4,4
1294,0,0,3,2,3,1989,21,3,4,2,1,2,1,2,2,0,5,0,0,2,2,2,4,4,3
1295,0,0,4,2,3,1989,21,2,2,3,2,2,1,1,3,0,3,-1,0,3,3,3,2,2,2
1296,1,1,4,2,3,1990,20,3,4,3,1,2,1,3,10,0,3,0,0,1,4,4,3,4,3
1297,1,1,4,2,4,1991,19,3,4,2,6,1,3,3,2,0,2,0,0,2,4,4,4,4,4
1298,1,-1,1,2,5,1991,19,1,4,2,2,2,1,3,-1,0,1,-1,0,1,3,2,3,3,4
1299,1,1,1,2,5,1967,43,3,3,3,1,2,1,7,8,1,5,0,0,1,4,4,4,4,4
1300,0,1,1,2,2,1962,48,1,3,1,2,4,1,3,9,1,2,1,0,1,4,2,4,3,4
1301,1,1,1,1,1,1987,23,5,5,5,2,2,1,5,3,0,1,-1,0,1,4,4,3,3,3
1302,0,0,4,2,2,1950,60,1,2,1,1,2,1,3,8,0,-1,-1,0,1,4,4,2,3,3
1303,1,1,1,2,5,1981,29,1,2,2,1,2,1,7,7,0,2,0,0,2,4,3,3,3,4
1304,0,0,1,1,1,1987,23,5,5,5,2,2,1,5,7,0,2,-1,0,1,3,3,3,3,4
1305,1,1,4,2,4,1991,19,4,4,4,1,2,1,3,12,0,5,0,0,1,4,4,4,4,5
1306,1,1,4,1,8,1987,23,1,1,1,4,4,1,3,7,0,1,-1,0,2,4,2,2,2,2
1307,1,1,4,2,3,1982,28,4,3,1,1,3,1,5,9,-1,2,-1,0,2,4,4,4,4,4
1308,1,1,1,2,2,1984,26,1,3,1,1,2,1,5,9,1,2,-1,0,1,3,3,3,3,3
1309,0,0,-1,2,3,1986,24,4,4,4,2,2,4,2,1,0,2,-1,0,3,2,2,3,3,2
1310,1,1,4,1,1,1960,50,5,3,5,2,1,3,5,10,0,2,0,0,-1,3,3,3,4,4
1311,1,1,4,1,5,1990,20,4,4,4,2,4,1,3,10,0,2,1,0,1,3,2,2,2,4
1312,-1,-1,-1,2,8,1989,21,5,5,5,2,4,1,2,1,-1,2,-1,0,1,4,4,4,3,4
1313,0,0,2,2,5,1980,30,6,2,2,1,3,1,3,2,0,0,0,0,1,4,2,2,4,2
1314,1,1,1,2,1,1967,43,1,4,1,2,2,1,5,12,1,1,-1,0,1,4,4,4,4,4
1315,0,0,2,2,8,1983,27,4,4,4,2,5,1,6,2,0,3,0,0,1,4,4,4,4,3
1316,1,0,4,1,1,1988,22,5,4,5,2,3,1,5,1,0,3,1,0,2,4,3,4,4,3
1317,1,1,1,1,1,1977,33,5,5,5,4,2,1,3,3,0,0,0,0,2,2,4,2,2,3
1318,1,1,1,1,1,1960,50,5,4,5,1,4,1,5,10,0,1,0,0,3,4,4,4,4,3
1319,1,1,1,2,5,1984,26,1,1,1,1,2,1,5,9,1,2,-1,0,1,4,3,4,4,4
1320,0,0,2,1,1,1966,44,5,3,5,3,2,1,4,12,1,2,-1,0,1,3,3,2,2,3
1321,1,0,4,2,5,1981,29,3,4,-1,1,2,1,7,7,0,1,-1,0,3,4,4,3,3,3
1322,1,1,4,2,2,1995,15,1,2,1,-1,-1,3,1,-1,0,2,-1,0,1,4,4,4,4,3
1323,0,0,1,1,1,1963,47,5,5,5,4,3,3,2,6,0,1,0,0,3,4,3,2,2,3
1324,1,1,4,2,3,1990,20,5,5,3,1,4,1,3,1,0,3,-1,0,2,4,3,3,3,3
1325,1,0,4,2,3,1988,22,4,3,3,1,3,1,5,10,0,1,0,0,3,4,4,4,4,2
1326,1,1,-1,2,3,1978,32,4,3,4,1,3,1,5,10,1,1,2,0,3,3,3,4,4,4
1327,1,1,3,2,2,1955,55,1,2,1,4,2,1,3,10,1,1,0,1,1,3,3,4,4,2
1328,1,0,4,2,2,1991,19,2,2,1,2,2,4,3,12,0,3,-1,0,2,2,2,3,2,-1
1329,0,0,1,1,1,1960,50,5,5,5,1,-1,1,6,6,0,1,-1,0,1,2,2,2,2,3
1330,0,1,1,2,3,1979,31,5,4,4,2,3,1,4,7,0,-1,2,0,3,2,2,3,3,3
1331,0,1,4,2,2,1970,40,2,3,1,1,2,1,3,8,0,2,0,0,3,3,3,2,3,3
1332,1,1,4,1,1,1986,24,5,5,5,2,3,1,5,10,0,1,0,0,1,4,3,4,4,5
1333,1,0,1,2,5,1984,26,1,2,2,2,2,1,5,5,1,5,-1,0,1,4,4,3,4,4
1334,1,1,1,2,2,1952,58,1,1,1,2,3,1,7,12,1,2,-1,0,1,4,4,4,4,5
1335,1,1,4,2,3,1994,16,3,3,3,2,4,3,1,-1,0,3,1,0,1,2,2,2,2,3
1336,1,1,1,2,2,1991,19,2,4,2,1,2,3,3,12,0,3,2,0,3,4,4,4,4,4
1337,1,1,4,2,12,1983,27,3,4,1,1,4,1,7,5,0,3,0,0,2,2,2,2,2,2
1338,1,1,4,1,1,1951,59,5,5,5,2,2,1,7,11,1,6,0,0,3,4,4,4,4,3
1339,0,0,4,1,1,1990,20,5,4,5,-1,4,3,3,8,0,0,0,0,3,4,4,4,4,4
1340,1,1,4,1,1,1979,31,5,4,5,1,4,4,2,7,1,0,0,0,1,4,4,4,4,3
1341,1,1,4,2,3,1993,17,4,3,3,1,4,4,1,11,0,2,2,0,1,2,3,2,2,3
1342,1,0,3,1,1,1986,24,5,5,5,1,4,3,5,9,1,1,-1,0,3,3,3,4,4,4
1343,1,1,4,1,5,1941,69,5,4,5,4,2,1,6,10,1,1,0,1,1,4,4,4,4,5
1344,0,0,4,1,-1,1986,24,4,3,5,1,3,1,2,1,0,2,0,0,3,2,2,2,2,4
1345,1,1,1,2,2,1963,47,1,2,1,2,2,1,5,12,1,1,0,0,1,3,4,4,4,3
1346,0,0,4,2,12,1983,27,3,4,2,1,4,1,3,7,0,4,-1,0,2,3,2,4,3,3
1347,0,0,3,1,1,1991,19,5,5,5,4,3,3,2,3,0,1,-1,0,3,3,3,3,3,4
1348,1,1,2,1,1,1967,43,5,4,5,1,2,1,6,10,1,0,0,-1,1,3,4,4,4,3
1349,1,1,1,1,1,1944,66,5,1,5,1,2,1,5,10,1,0,0,1,1,4,4,4,4,5
1350,0,0,4,2,2,1989,21,1,1,1,2,4,2,2,7,0,2,2,0,2,4,4,4,4,4
1351,1,1,1,1,1,1983,27,5,4,4,2,2,1,3,12,0,1,-1,0,1,3,3,4,4,4
1352,1,1,4,1,-1,-1,-1,1,4,5,5,1,2,6,10,1,3,-1,0,1,3,3,4,4,3
1353,1,1,1,1,1,1964,46,5,5,5,1,5,1,6,12,1,1,0,0,3,3,3,2,2,4
1354,1,1,2,1,1,1978,32,5,5,5,1,4,1,7,8,1,2,-1,0,2,3,3,3,3,5
1355,1,1,1,2,2,1988,22,1,3,1,-1,1,2,4,7,1,1,-1,0,2,4,4,4,4,3
1356,1,1,1,1,1,1971,39,5,5,5,1,2,1,7,12,1,1,0,0,1,4,4,4,4,4
1357,1,1,2,2,2,1948,62,1,1,1,1,2,1,1,10,0,1,0,0,3,4,4,4,4,2
1358,1,1,1,2,2,1957,53,1,2,1,3,2,1,3,5,1,0,0,0,1,4,3,4,4,5
1359,0,0,1,2,2,1946,64,1,2,1,2,3,1,6,8,0,1,-1,0,1,4,4,4,4,5
1360,1,0,3,2,1,1989,21,1,1,5,2,4,1,4,-1,0,1,0,0,1,2,2,3,2,3
1361,1,1,1,2,2,1980,30,1,2,2,2,4,1,7,8,0,1,-1,0,2,4,3,3,3,2
1362,1,1,4,1,7,1987,23,6,6,2,2,3,1,4,2,0,-1,-1,0,1,4,2,3,3,3
1363,1,1,1,1,1,1960,50,5,4,5,3,2,1,6,11,1,1,-1,0,1,3,3,3,3,3
1364,1,1,1,1,3,1969,41,5,3,3,1,2,1,5,11,1,3,0,0,1,3,2,3,3,3
1365,1,1,1,2,2,1975,35,1,2,1,2,2,1,4,9,1,1,-1,0,1,3,3,3,3,4
1366,1,1,1,1,1,1963,47,5,4,4,1,4,1,6,10,1,1,0,0,1,3,4,4,4,4
1367,0,1,1,1,1,1964,46,5,5,5,2,2,1,7,10,0,0,0,0,1,3,2,2,2,3
1368,1,1,1,1,1,1937,73,5,5,5,1,2,1,5,7,0,1,-1,0,1,4,3,3,3,2
1369,0,1,1,1,1,1972,38,4,4,4,2,2,1,7,12,1,0,0,-1,1,4,4,4,4,5
1370,0,1,1,1,1,1990,20,5,5,5,1,4,4,2,2,0,1,0,0,1,3,4,4,4,4
1371,0,0,1,1,-1,1986,24,1,1,1,-1,4,3,2,2,0,3,1,0,1,4,4,4,4,4
1372,1,1,1,2,2,1968,42,3,4,2,2,2,1,3,2,0,2,0,0,1,3,4,4,4,4
1374,1,1,1,2,2,1982,28,1,3,1,2,4,1,3,10,1,1,-1,0,3,4,4,3,4,3
1375,0,0,1,2,2,1990,20,1,2,1,2,2,1,3,8,1,1,-1,0,3,1,1,1,1,3
1376,-1,-1,-1,-1,2,1964,46,1,1,1,2,2,1,4,10,0,1,-1,1,3,3,4,4,4,4
1377,0,0,1,2,2,1965,45,1,2,1,3,2,5,4,9,1,3,-1,0,3,4,4,4,4,3
1378,0,0,4,2,2,1988,22,1,1,1,2,4,3,3,7,0,1,-1,0,3,3,4,4,4,4
