,q1a,q1b,q1c,q2b,q3b,q4a,q4b,q4c,q4d,q5a,q5b,q5c,q6a,q6b,q6c,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q11a,q11b,q11c,q11d,q11e,q12a,q12b,q12c,q12d,q13a,q14a,q14b,q14c,q14d,q14e,q14f,q15a,q15b,q15c,q15d,q16a,q16b,q17a,q17b,q17c,q18b,q18c,q18g,age18,q20a,q20b,q20c,q21a,q21b,q21c,q22a,q22b,q22c,q22d1,q22d2,q22f,q23c,q24a,q24b,q24c,q24d,q25
587,3,6,4,2,2,1,2,1,2,5,2,5,2,5,5,1,1,1,1,1,2,2,3,5,6,4,3,2,3,2,5,3,2,2,2,2,5,3,2,2,3,1,2,3,1,6,6,3,6,4,3,8,2,2,4,4,5,5,15,2,5,1,1,1,1,7,1970,40,5,4,5,2,4,1,5,10,1,1,-1,0,1,3,2,2,2,3
588,6,4,4,2,1,1,6,1,6,6,2,6,2,6,6,1,1,1,8,8,2,2,3,6,6,6,5,2,3,6,6,3,3,2,3,6,6,3,3,4,4,3,4,3,7,7,3,2,6,5,5,5,5,5,5,6,5,3,9,4,6,0,1,1,1,1,1977,33,5,4,5,2,2,1,3,9,1,2,-1,0,1,4,3,3,3,2
589,1,4,4,3,5,1,2,1,4,6,6,6,6,6,6,-1,-1,3,8,3,8,2,3,2,3,2,2,2,1,2,1,2,1,4,3,4,2,2,2,3,3,3,3,3,1,1,7,5,6,5,5,5,5,5,5,6,6,5,16,5,6,1,1,2,1,1,1991,19,5,5,5,3,3,1,3,9,1,2,-1,0,1,2,3,3,2,3
590,2,2,1,2,-1,1,2,1,6,4,1,6,3,4,4,2,2,2,2,2,2,1,1,3,4,1,3,1,1,3,4,1,2,1,1,3,5,3,3,2,3,2,3,2,1,1,4,2,4,5,5,5,5,5,5,6,1,1,21,2,2,1,1,1,1,1,1968,42,5,5,5,2,2,1,4,10,1,2,0,0,1,3,4,4,4,5
591,1,5,3,3,2,1,1,1,6,6,3,5,3,6,3,1,1,2,1,1,3,5,5,2,6,4,1,6,6,4,6,3,1,6,6,5,6,2,1,4,4,4,4,4,1,6,6,1,6,4,4,1,4,1,5,4,6,6,14,3,6,0,0,1,2,5,1988,22,1,2,2,1,2,1,3,1,0,5,0,0,1,2,3,4,3,3
592,6,1,1,1,1,0,1,1,2,6,6,6,5,4,5,1,1,1,1,1,1,2,4,3,6,4,4,4,4,4,5,3,4,4,4,4,5,4,5,3,4,3,3,3,1,1,5,4,4,4,4,3,4,2,4,5,3,3,19,4,6,1,1,3,1,5,1972,38,4,3,3,2,2,1,7,10,1,1,-1,-1,1,4,4,4,4,3
593,1,2,6,1,5,0,1,0,1,6,6,6,5,3,1,1,1,1,8,8,1,3,6,6,6,6,4,5,5,1,3,1,5,3,3,6,6,5,4,4,4,4,4,4,3,8,7,8,1,4,4,4,2,2,5,6,1,1,13,5,1,1,1,1,1,-1,1981,29,6,3,3,5,1,2,4,11,1,-1,-1,1,1,4,4,4,4,5
594,4,2,2,3,3,1,1,1,6,6,6,6,3,4,6,2,1,2,1,1,2,3,4,4,6,1,3,2,2,4,5,1,3,2,2,3,3,1,3,1,1,1,1,1,2,3,4,1,-1,5,5,8,5,5,5,6,1,3,9,2,3,1,1,1,1,1,1976,34,5,5,5,1,2,1,6,11,1,1,-1,0,3,4,4,4,4,4
595,2,4,3,2,1,1,6,1,6,6,6,6,6,6,6,1,1,1,1,1,1,2,2,4,4,2,2,1,2,4,4,1,1,1,1,1,1,1,2,3,2,3,3,-1,8,8,5,1,6,5,5,5,5,5,5,5,4,4,14,2,4,1,1,-1,2,-1,1985,25,1,1,1,1,2,1,2,6,1,5,-1,0,2,3,3,3,3,3
596,6,2,1,1,2,1,1,1,2,4,1,6,4,4,6,1,1,2,1,1,2,6,6,6,6,2,4,5,6,6,6,2,4,5,6,6,6,2,4,4,3,3,3,3,7,8,5,6,4,5,5,5,5,5,5,6,4,4,14,2,5,0,1,1,1,5,1975,35,5,4,4,1,4,1,5,9,1,2,-1,0,1,3,4,4,3,4
597,1,1,5,2,2,1,5,1,5,5,5,5,5,5,5,2,2,2,2,2,2,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,1,3,5,4,2,2,2,2,2,2,4,2,2,18,3,4,0,0,1,2,3,1991,19,3,3,3,2,1,3,2,2,0,0,0,0,2,2,2,2,2,2
598,6,7,7,3,3,1,3,1,6,3,2,3,2,6,3,2,2,2,8,1,2,2,3,6,6,2,3,2,3,6,6,2,3,2,2,4,6,1,4,1,2,2,2,2,1,7,4,1,5,1,4,1,3,2,2,3,4,3,14,2,4,1,1,4,2,3,1985,25,3,3,2,1,3,1,7,11,0,2,-1,0,1,4,4,4,4,4
599,1,3,2,1,1,1,1,1,3,6,6,6,3,6,5,1,1,2,1,1,3,2,6,6,6,3,2,2,2,2,4,1,2,4,4,4,6,1,2,1,1,1,1,1,8,7,2,1,6,5,5,8,5,8,5,2,3,5,12,2,6,0,1,3,1,5,1971,39,5,5,5,-1,4,1,4,7,0,2,-1,0,2,3,3,3,3,4
600,6,4,4,4,-1,1,1,1,6,5,4,4,2,4,3,2,2,2,2,2,2,1,5,5,6,3,1,-1,4,6,6,1,1,1,4,4,6,1,1,3,3,2,3,2,1,1,4,2,5,5,5,3,5,5,5,6,1,4,13,4,5,0,0,4,1,1,1988,22,3,4,4,4,1,3,2,3,0,1,-1,-1,3,3,2,4,3,4
601,6,1,5,1,1,1,6,1,6,6,3,4,5,1,4,1,1,1,1,1,1,6,6,6,6,4,2,6,6,6,6,2,2,6,6,6,6,2,2,4,4,4,4,2,8,-1,-1,7,6,2,2,1,1,1,2,2,2,2,14,1,1,1,1,1,1,1,1964,46,5,4,5,1,2,1,4,9,1,1,-1,0,1,4,4,4,4,5
